AnimeFEST!	AnimeFest	<http://lv.wikipedia.org/wiki/AnimeFest>	
18.gs.	18. gadsimts	<http://lv.wikipedia.org/wiki/18._gadsimts>	
20.gs.	20. gadsimts	<http://lv.wikipedia.org/wiki/20._gadsimts>	
P.S.	Post Scriptum	<http://lv.wikipedia.org/wiki/Post_Scriptum>	
E.T.	Citplanētietis	<http://lv.wikipedia.org/wiki/Citplanētietis>	
S.H.E.	S.H.E	<http://lv.wikipedia.org/wiki/S.H.E>	
Mat.	Mateja evaņģēlijs	<http://lv.wikipedia.org/wiki/Mateja_evaņģēlijs>	
RV1.Ģ.	Rīgas Valsts 1. ģimnāzija	<http://lv.wikipedia.org/wiki/Rīgas_Valsts_1._ģimnāzija>	
Mk.	Marka evaņģēlijs	<http://lv.wikipedia.org/wiki/Marka_evaņģēlijs>	
P.p.	Pieturas punkts	<http://lv.wikipedia.org/wiki/Pieturas_punkts>	
C.p.	Ceļa postenis	<http://lv.wikipedia.org/wiki/Ceļa_postenis>	
Lk.	Lūkas evaņģēlijs	<http://lv.wikipedia.org/wiki/Lūkas_evaņģēlijs>	
Yu-Gi-Oh!	Jugio	<http://lv.wikipedia.org/wiki/Jugio>	
Rom.	Pāvila vēstule romiešiem	<http://lv.wikipedia.org/wiki/Pāvila_vēstule_romiešiem>	
Ap.d.	Apustuļu darbi	<http://lv.wikipedia.org/wiki/Apustuļu_darbi>	
Kol.	Pāvila vēstule kolosiešiem	<http://lv.wikipedia.org/wiki/Pāvila_vēstule_kolosiešiem>	
Jņ.	Jāņa evaņģēlijs	<http://lv.wikipedia.org/wiki/Jāņa_evaņģēlijs>	
Mt.	Mateja evaņģēlijs	<http://lv.wikipedia.org/wiki/Mateja_evaņģēlijs>	
1Kor.	Pāvila 1. vēstule korintiešiem	<http://lv.wikipedia.org/wiki/Pāvila_1._vēstule_korintiešiem>	
Lampre-N.G.C.	Lampre-Merida	<http://lv.wikipedia.org/wiki/Lampre-Merida>	
Kr.	Dānijas krona	<http://lv.wikipedia.org/wiki/Dānijas_krona>	
P.E.I.	Prinča Edvarda Sala	<http://lv.wikipedia.org/wiki/Prinča_Edvarda_Sala>	
Uno!	¡Uno!	<http://lv.wikipedia.org/wiki/¡Uno!>	
Dos!	¡Dos!	<http://lv.wikipedia.org/wiki/¡Dos!>	
Tré!	¡Tré!	<http://lv.wikipedia.org/wiki/¡Tré!>	
¡Tre!	¡Tré!	<http://lv.wikipedia.org/wiki/¡Tré!>	
Tre!	¡Tré!	<http://lv.wikipedia.org/wiki/¡Tré!>	
