Yahoo!	雅虎	<http://zh.wikipedia.org/wiki/雅虎>	
C.E.	宇宙纪元	<http://zh.wikipedia.org/wiki/宇宙纪元>	
K.O.F.	拳皇	<http://zh.wikipedia.org/wiki/拳皇>	
S.H.E.	S.H.E	<http://zh.wikipedia.org/wiki/S.H.E>	
