EE.UU.	Estats Units d'Amèrica	<http://ca.wikipedia.org/wiki/Estats_Units_d'Amèrica>	
N.Y.	Nova York	<http://ca.wikipedia.org/wiki/Nova_York>	<http://dbpedia.org/ontology/City>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://dbpedia.org/ontology/Settlement>,<http://schema.org/City>,<http://schema.org/Place> 
N.M.A.	Nou mètode austríac	<http://ca.wikipedia.org/wiki/Nou_mètode_austríac>	
N.A.T.M.	Nou mètode austríac	<http://ca.wikipedia.org/wiki/Nou_mètode_austríac>	
M.E.F.	Anàlisi d'elements finits	<http://ca.wikipedia.org/wiki/Anàlisi_d'elements_finits>	
T.B.M.	Tuneladora	<http://ca.wikipedia.org/wiki/Tuneladora>	
Mæonia.	Regne de Lídia	<http://ca.wikipedia.org/wiki/Regne_de_Lídia>	
F.R.A.P.	Front Revolucionari Antifeixista i Patriota	<http://ca.wikipedia.org/wiki/Front_Revolucionari_Antifeixista_i_Patriota>	
P.S.O.E.	Partit Socialista Obrer Espanyol	<http://ca.wikipedia.org/wiki/Partit_Socialista_Obrer_Espanyol>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/PoliticalParty>,<http://schema.org/Organization> 
E.T.A.	Euskadi Ta Askatasuna	<http://ca.wikipedia.org/wiki/Euskadi_Ta_Askatasuna>	
CC.OO.	Comissions Obreres	<http://ca.wikipedia.org/wiki/Comissions_Obreres>	
U.m.a.	Unitat de massa atòmica	<http://ca.wikipedia.org/wiki/Unitat_de_massa_atòmica>	
Q.e.d.	Quod erat demonstrandum	<http://ca.wikipedia.org/wiki/Quod_erat_demonstrandum>	
A.u.c.	Ab urbe condita	<http://ca.wikipedia.org/wiki/Ab_urbe_condita>	
Selèucides.	Imperi Selèucida	<http://ca.wikipedia.org/wiki/Imperi_Selèucida>	
E.S.O.	Educació Secundària Obligatòria	<http://ca.wikipedia.org/wiki/Educació_Secundària_Obligatòria>	
C.U.R.C.C.	Central Uruguay Railway Cricket Club	<http://ca.wikipedia.org/wiki/Central_Uruguay_Railway_Cricket_Club>	
..Maqroll..	Usuari:Maqroll	<http://ca.wikipedia.org/wiki/Usuari:Maqroll>	
S.a.	SA	<http://ca.wikipedia.org/wiki/SA>	
¡Cu-cut!	¡Cu-Cut!	<http://ca.wikipedia.org/wiki/¡Cu-Cut!>	
Op.	Opus (música)	<http://ca.wikipedia.org/wiki/Opus_(música)>	
