Англ.	Английский язык	<http://ru.wikipedia.org/wiki/Английский_язык>	
Лат.	Латинский язык	<http://ru.wikipedia.org/wiki/Латинский_язык>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://purl.org/ontology/bibo/Book>,<http://dbpedia.org/ontology/Book>,<http://schema.org/CreativeWork>,<http://schema.org/Book> 
Греч.	Греческий язык	<http://ru.wikipedia.org/wiki/Греческий_язык>	
Араб.	Арабский язык	<http://ru.wikipedia.org/wiki/Арабский_язык>	
Шуаны!	Шуаны (фильм, 1988)	<http://ru.wikipedia.org/wiki/Шуаны_(фильм,_1988)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Нем.	Немецкий язык	<http://ru.wikipedia.org/wiki/Немецкий_язык>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://purl.org/ontology/bibo/Book>,<http://dbpedia.org/ontology/Book>,<http://schema.org/CreativeWork>,<http://schema.org/Book> 
У.е.	Условная единица	<http://ru.wikipedia.org/wiki/Условная_единица>	
Яп.	Японский язык	<http://ru.wikipedia.org/wiki/Японский_язык>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://purl.org/ontology/bibo/Book>,<http://dbpedia.org/ontology/Book>,<http://schema.org/CreativeWork>,<http://schema.org/Book> 
Фр.	Французский язык	<http://ru.wikipedia.org/wiki/Французский_язык>	
Финск.	Финский язык	<http://ru.wikipedia.org/wiki/Финский_язык>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://purl.org/ontology/bibo/Book>,<http://dbpedia.org/ontology/Book>,<http://schema.org/CreativeWork>,<http://schema.org/Book> 
Швед.	Шведский язык	<http://ru.wikipedia.org/wiki/Шведский_язык>	
Ч.т.д.	Q.E.D.	<http://ru.wikipedia.org/wiki/Q.E.D.>	
Тыс.	Тысяча	<http://ru.wikipedia.org/wiki/Тысяча>	
Чел.	Человек разумный	<http://ru.wikipedia.org/wiki/Человек_разумный>	<http://dbpedia.org/ontology/Species> 
Км.	Километр	<http://ru.wikipedia.org/wiki/Километр>	
Кин-Дза-Дза!	Кин-дза-дза!	<http://ru.wikipedia.org/wiki/Кин-дза-дза!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Быт.	Книга Бытия	<http://ru.wikipedia.org/wiki/Книга_Бытия>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://purl.org/ontology/bibo/Book>,<http://dbpedia.org/ontology/Book>,<http://schema.org/CreativeWork>,<http://schema.org/Book> 
Ph.D.	Доктор философии	<http://ru.wikipedia.org/wiki/Доктор_философии>	
А.е.	Астрономическая единица	<http://ru.wikipedia.org/wiki/Астрономическая_единица>	
Санскр.	Санскрит	<http://ru.wikipedia.org/wiki/Санскрит>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://purl.org/ontology/bibo/Book>,<http://dbpedia.org/ontology/Book>,<http://schema.org/CreativeWork>,<http://schema.org/Book> 
