L.A.	Los Angeles	<http://af.wikipedia.org/wiki/Los_Angeles>	
S.F.	San Francisco	<http://af.wikipedia.org/wiki/San_Francisco>	
S.nw.	Selfstandige naamwoord	<http://af.wikipedia.org/wiki/Selfstandige_naamwoord>	
V.O.C.	Verenigde Oos-Indiese Kompanjie	<http://af.wikipedia.org/wiki/Verenigde_Oos-Indiese_Kompanjie>	
E.U.	Europese Unie	<http://af.wikipedia.org/wiki/Europese_Unie>	
F.A.K.	Federasie van Afrikaanse Kultuurvereniginge	<http://af.wikipedia.org/wiki/Federasie_van_Afrikaanse_Kultuurvereniginge>	
V.S.A.	Verenigde State van Amerika	<http://af.wikipedia.org/wiki/Verenigde_State_van_Amerika>	
P.E.	Port Elizabeth	<http://af.wikipedia.org/wiki/Port_Elizabeth>	
S.i.	Si (dubbelsinnig)	<http://af.wikipedia.org/wiki/Si_(dubbelsinnig)>	
K.O.B.U.S!	K.O.B.U.S.	<http://af.wikipedia.org/wiki/K.O.B.U.S.>	
K.O.B.U.S.!	K.O.B.U.S.	<http://af.wikipedia.org/wiki/K.O.B.U.S.>	
Bpk.	Maatskappy	<http://af.wikipedia.org/wiki/Maatskappy>	
Apple,inc.	Apple Inc.	<http://af.wikipedia.org/wiki/Apple_Inc.>	
U.S.S.R.	Sowjetunie	<http://af.wikipedia.org/wiki/Sowjetunie>	
