E.U.	European Union	<http://sco.wikipedia.org/wiki/European_Union>	
KOBUS!	Kobus!	<http://sco.wikipedia.org/wiki/Kobus!>	
K.O.B.U.S.!	Kobus!	<http://sco.wikipedia.org/wiki/Kobus!>	
