Abt.	Seznam vojaških kratic na A	<http://sl.wikipedia.org/wiki/Seznam_vojaških_kratic_na_A>	
C.a.R.	Ravnilo in šestilo	<http://sl.wikipedia.org/wiki/Ravnilo_in_šestilo>	
Z.u.L.	Ravnilo in šestilo	<http://sl.wikipedia.org/wiki/Ravnilo_in_šestilo>	
Dr.	Doktorat	<http://sl.wikipedia.org/wiki/Doktorat>	
Ing.	Inženir	<http://sl.wikipedia.org/wiki/Inženir>	
Inž.	Inženir	<http://sl.wikipedia.org/wiki/Inženir>	
Mag.	Magister	<http://sl.wikipedia.org/wiki/Magister>	
Msgr.	Monsignor	<http://sl.wikipedia.org/wiki/Monsignor>	
N.N.	Nomen nescio	<http://sl.wikipedia.org/wiki/Nomen_nescio>	
Prof.	Profesor	<http://sl.wikipedia.org/wiki/Profesor>	
Mons.	Monsignor	<http://sl.wikipedia.org/wiki/Monsignor>	
Mgr.	Monsignor	<http://sl.wikipedia.org/wiki/Monsignor>	
M.I.T.	Tehnološki inštitut Massachusettsa	<http://sl.wikipedia.org/wiki/Tehnološki_inštitut_Massachusettsa>	
N.m.v.	Nadmorska višina	<http://sl.wikipedia.org/wiki/Nadmorska_višina>	
M.J.	Michael Jordan	<http://sl.wikipedia.org/wiki/Michael_Jordan>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Athlete>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/BasketballPlayer>,<http://schema.org/Person> 
T.P.C.	Porečanka	<http://sl.wikipedia.org/wiki/Porečanka>	
Doc.	Docent	<http://sl.wikipedia.org/wiki/Docent>	
Soc.	Sociologija	<http://sl.wikipedia.org/wiki/Sociologija>	
Med.	Medicina	<http://sl.wikipedia.org/wiki/Medicina>	
Hinomaru!	Peking	<http://sl.wikipedia.org/wiki/Peking>	
M.n.m.	Nadmorska višina	<http://sl.wikipedia.org/wiki/Nadmorska_višina>	
S.J.	Družba Jezusova	<http://sl.wikipedia.org/wiki/Družba_Jezusova>	
Mill.	Philip Miller	<http://sl.wikipedia.org/wiki/Philip_Miller>	
D.L.R.K.	Severna Koreja	<http://sl.wikipedia.org/wiki/Severna_Koreja>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
Id.	Ibid.	<http://sl.wikipedia.org/wiki/Ibid.>	
D.o.o.	Družba z omejeno odgovornostjo	<http://sl.wikipedia.org/wiki/Družba_z_omejeno_odgovornostjo>	
KV.	Köchel-Verzeichnis	<http://sl.wikipedia.org/wiki/Köchel-Verzeichnis>	
Op.	Opus	<http://sl.wikipedia.org/wiki/Opus>	
D.n.o.	Družba z neomejeno odgovornostjo	<http://sl.wikipedia.org/wiki/Družba_z_neomejeno_odgovornostjo>	
K.d.	Komanditna družba	<http://sl.wikipedia.org/wiki/Komanditna_družba>	
K.d.d.	Komanditna delniška družba	<http://sl.wikipedia.org/wiki/Komanditna_delniška_družba>	
T.i.	T.I.	<http://sl.wikipedia.org/wiki/T.I.>	
OSVED!	Očistimo Slovenijo v enem dnevu!	<http://sl.wikipedia.org/wiki/Očistimo_Slovenijo_v_enem_dnevu!>	
Goal!	Gol!	<http://sl.wikipedia.org/wiki/Gol!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
D.d.	Delniška družba	<http://sl.wikipedia.org/wiki/Delniška_družba>	
O.SS.T.	Red Svete Trojice	<http://sl.wikipedia.org/wiki/Red_Svete_Trojice>	
H.A.W.X.	Tom Clancy's H.A.W.X	<http://sl.wikipedia.org/wiki/Tom_Clancy's_H.A.W.X>	<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame>,<http://schema.org/CreativeWork> 
FF.AA.	Italijanske oborožene sile	<http://sl.wikipedia.org/wiki/Italijanske_oborožene_sile>	
S.I.S.De.	SISDE	<http://sl.wikipedia.org/wiki/SISDE>	
