Prof.	Profesor	<http://hr.wikipedia.org/wiki/Profesor>	
U.K.	Ujedinjeno Kraljevstvo	<http://hr.wikipedia.org/wiki/Ujedinjeno_Kraljevstvo>	
R.E.M.	R.E.M. (sastav)	<http://hr.wikipedia.org/wiki/R.E.M._(sastav)>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
M.A.S.H.	M*A*S*H (1970.)	<http://hr.wikipedia.org/wiki/M*A*S*H_(1970.)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
P.n.e.	Pr. Kr.	<http://hr.wikipedia.org/wiki/Pr._Kr.>	
D.o.o.	Društvo s ograničenom odgovornošću	<http://hr.wikipedia.org/wiki/Društvo_s_ograničenom_odgovornošću>	
K.u.K.	K.u.k.	<http://hr.wikipedia.org/wiki/K.u.k.>	
Msgr.	Monsinjor	<http://hr.wikipedia.org/wiki/Monsinjor>	
G.E.B.A.	Club de Gimnasia y Esgrima de Buenos Aires	<http://hr.wikipedia.org/wiki/Club_de_Gimnasia_y_Esgrima_de_Buenos_Aires>	
R.O.D.	Read or Die	<http://hr.wikipedia.org/wiki/Read_or_Die>	
T.B.F.	The Beat Fleet	<http://hr.wikipedia.org/wiki/The_Beat_Fleet>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
S.O.D.	Stormtroopers of Death	<http://hr.wikipedia.org/wiki/Stormtroopers_of_Death>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Aubl.	Jean Baptiste Christophore Fusée Aublet	<http://hr.wikipedia.org/wiki/Jean_Baptiste_Christophore_Fusée_Aublet>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/Scientist>,<http://schema.org/Person> 
H.Karst.	Gustav Karl Wilhelm Hermann Karsten	<http://hr.wikipedia.org/wiki/Gustav_Karl_Wilhelm_Hermann_Karsten>	
Juss.	Antoine-Laurent de Jussieu	<http://hr.wikipedia.org/wiki/Antoine-Laurent_de_Jussieu>	
M.Roem.	Max Joseph Roemer	<http://hr.wikipedia.org/wiki/Max_Joseph_Roemer>	
Thalheim/Erzgeb.	Thalheim (Saska)	<http://hr.wikipedia.org/wiki/Thalheim_(Saska)>	
Mast.	Maxwell Tylden Masters	<http://hr.wikipedia.org/wiki/Maxwell_Tylden_Masters>	
A.Juss.	Adrien-Henri de Jussieu	<http://hr.wikipedia.org/wiki/Adrien-Henri_de_Jussieu>	
P.Jørg.	Peter Møller Jørgensen	<http://hr.wikipedia.org/wiki/Peter_Møller_Jørgensen>	
Griseb.	Heinrich August Rudolf Grisebach	<http://hr.wikipedia.org/wiki/Heinrich_August_Rudolf_Grisebach>	
S.M.S.	Seiner Majestät Schiff	<http://hr.wikipedia.org/wiki/Seiner_Majestät_Schiff>	
M.n.v.	Nadmorska visina	<http://hr.wikipedia.org/wiki/Nadmorska_visina>	
Šank?!	Šank?!(band)	<http://hr.wikipedia.org/wiki/Šank?!(band)>	
