S.A.M.	Stáit Aontaithe Mheiriceá	<http://ga.wikipedia.org/wiki/Stáit_Aontaithe_Mheiriceá>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
C.E.	Anno Domini	<http://ga.wikipedia.org/wiki/Anno_Domini>	
A.D.	Anno Domini	<http://ga.wikipedia.org/wiki/Anno_Domini>	
B.C.	Roimh Chríost	<http://ga.wikipedia.org/wiki/Roimh_Chríost>	
C.I.E.	Córas Iompair Éireann	<http://ga.wikipedia.org/wiki/Córas_Iompair_Éireann>	
C.I.É.	Córas Iompair Éireann	<http://ga.wikipedia.org/wiki/Córas_Iompair_Éireann>	
