Hebr.	Hebraisk	<http://nn.wikipedia.org/wiki/Hebraisk>	
Lat.	Latin	<http://nn.wikipedia.org/wiki/Latin>	
Ital.	Italiensk	<http://nn.wikipedia.org/wiki/Italiensk>	
Port.	Portugisisk	<http://nn.wikipedia.org/wiki/Portugisisk>	
Arab.	Arabisk	<http://nn.wikipedia.org/wiki/Arabisk>	
Gno.	Norrønt	<http://nn.wikipedia.org/wiki/Norrønt>	
Da.	Dansk	<http://nn.wikipedia.org/wiki/Dansk>	
Norr.	Norrønt	<http://nn.wikipedia.org/wiki/Norrønt>	
Adj.	Adjektiv	<http://nn.wikipedia.org/wiki/Adjektiv>	
Jød.	Jødedommen	<http://nn.wikipedia.org/wiki/Jødedommen>	
Adv.	Adverb	<http://nn.wikipedia.org/wiki/Adverb>	
Aram.	Arameisk	<http://nn.wikipedia.org/wiki/Arameisk>	
Jid.	Jiddisch	<http://nn.wikipedia.org/wiki/Jiddisch>	
Fi.	Finsk	<http://nn.wikipedia.org/wiki/Finsk>	
Nedert.	Plattysk	<http://nn.wikipedia.org/wiki/Plattysk>	
Ndt.	Plattysk	<http://nn.wikipedia.org/wiki/Plattysk>	
G.nr.	Gardsnummer	<http://nn.wikipedia.org/wiki/Gardsnummer>	
B.nr.	Bruksnummer	<http://nn.wikipedia.org/wiki/Bruksnummer>	
Ty.	Tysk	<http://nn.wikipedia.org/wiki/Tysk>	
En.	Engelsk	<http://nn.wikipedia.org/wiki/Engelsk>	
Gr.	Gresk	<http://nn.wikipedia.org/wiki/Gresk>	
Ndl.	Nederlandsk	<http://nn.wikipedia.org/wiki/Nederlandsk>	
Fr.	Fransk	<http://nn.wikipedia.org/wiki/Fransk>	
Cand.Philol.	Candidatus philologiæ	<http://nn.wikipedia.org/wiki/Candidatus_philologiæ>	
Cand.philol.	Candidatus philologiæ	<http://nn.wikipedia.org/wiki/Candidatus_philologiæ>	
Moh.	Meter over havet	<http://nn.wikipedia.org/wiki/Meter_over_havet>	
1.mos.	Fyrste mosebok	<http://nn.wikipedia.org/wiki/Fyrste_mosebok>	
3.mos.	Tredje mosebok	<http://nn.wikipedia.org/wiki/Tredje_mosebok>	
2.mos.	Andre mosebok	<http://nn.wikipedia.org/wiki/Andre_mosebok>	
5.mos.	Femte mosebok	<http://nn.wikipedia.org/wiki/Femte_mosebok>	
4.mos.	Fjerde mosebok	<http://nn.wikipedia.org/wiki/Fjerde_mosebok>	
M.o.h.	Meter over havet	<http://nn.wikipedia.org/wiki/Meter_over_havet>	
Russ.	Russisk	<http://nn.wikipedia.org/wiki/Russisk>	
It.	Italiensk	<http://nn.wikipedia.org/wiki/Italiensk>	
Ca.	Cirka	<http://nn.wikipedia.org/wiki/Cirka>	
I.W.W.	Industrial Workers of the World	<http://nn.wikipedia.org/wiki/Industrial_Workers_of_the_World>	
Isl.	Islandsk	<http://nn.wikipedia.org/wiki/Islandsk>	
Dr.art.	Doctor artium	<http://nn.wikipedia.org/wiki/Doctor_artium>	
Ar.	Arabisk	<http://nn.wikipedia.org/wiki/Arabisk>	
Evt.	Fvt.	<http://nn.wikipedia.org/wiki/Fvt.>	
Eng.	Engelsk	<http://nn.wikipedia.org/wiki/Engelsk>	
F.v.t.	Fvt.	<http://nn.wikipedia.org/wiki/Fvt.>	
F.V.T.	Fvt.	<http://nn.wikipedia.org/wiki/Fvt.>	
Auc.	Ab urbe condita	<http://nn.wikipedia.org/wiki/Ab_urbe_condita>	
A.u.c.	Ab urbe condita	<http://nn.wikipedia.org/wiki/Ab_urbe_condita>	
LOL.	Internettsjargong	<http://nn.wikipedia.org/wiki/Internettsjargong>	
A.c.	AC	<http://nn.wikipedia.org/wiki/AC>	
Ac.	AC	<http://nn.wikipedia.org/wiki/AC>	
L.y.	Lysår	<http://nn.wikipedia.org/wiki/Lysår>	
U.K.	Storbritannia	<http://nn.wikipedia.org/wiki/Storbritannia>	
R.F.	Frankrike	<http://nn.wikipedia.org/wiki/Frankrike>	
Ph.D.	Doktorgrad	<http://nn.wikipedia.org/wiki/Doktorgrad>	
M.Sc.	Mastergrad	<http://nn.wikipedia.org/wiki/Mastergrad>	
%22Fenring%22.	Musikkgruppa Fenring	<http://nn.wikipedia.org/wiki/Musikkgruppa_Fenring>	
Kgl.res.	Kongeleg resolusjon	<http://nn.wikipedia.org/wiki/Kongeleg_resolusjon>	
Cand.theol.	Candidatus theologiæ	<http://nn.wikipedia.org/wiki/Candidatus_theologiæ>	
Cand.jur.	Candidatus juris	<http://nn.wikipedia.org/wiki/Candidatus_juris>	
A.D.	Kristi fødsel	<http://nn.wikipedia.org/wiki/Kristi_fødsel>	
A.m.	AM	<http://nn.wikipedia.org/wiki/AM>	
Today!	The Beach Boys Today!	<http://nn.wikipedia.org/wiki/The_Beach_Boys_Today!>	
M.I.U.	M.I.U. Album	<http://nn.wikipedia.org/wiki/M.I.U._Album>	
Dr.oecon.	Doctor oeconomiae	<http://nn.wikipedia.org/wiki/Doctor_oeconomiae>	
Dr.jur.	Doctor juris	<http://nn.wikipedia.org/wiki/Doctor_juris>	
N.N.	Nomen nescio	<http://nn.wikipedia.org/wiki/Nomen_nescio>	
Dr.h.c.	Æresdoktorgrad	<http://nn.wikipedia.org/wiki/Æresdoktorgrad>	
E.o.	Ex officio	<http://nn.wikipedia.org/wiki/Ex_officio>	
Etc.	Et cetera	<http://nn.wikipedia.org/wiki/Et_cetera>	
D.S.O.	Ordenen for framifrå tenester	<http://nn.wikipedia.org/wiki/Ordenen_for_framifrå_tenester>	
A.M.D.G.	Uttrykk frå latin	<http://nn.wikipedia.org/wiki/Uttrykk_frå_latin>	
Q.e.d.	Q.E.D.	<http://nn.wikipedia.org/wiki/Q.E.D.>	
Q.s.	Uttrykk frå latin	<http://nn.wikipedia.org/wiki/Uttrykk_frå_latin>	
