EE.UU.	Estados Unidos	<http://es.wikipedia.org/wiki/Estados_Unidos>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
U.R.S.S.	Unión Soviética	<http://es.wikipedia.org/wiki/Unión_Soviética>	
S.I.	Sistema Internacional de Unidades	<http://es.wikipedia.org/wiki/Sistema_Internacional_de_Unidades>	
E.U.A.	Estados Unidos	<http://es.wikipedia.org/wiki/Estados_Unidos>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
C.C.C.	Código cuenta cliente	<http://es.wikipedia.org/wiki/Código_cuenta_cliente>	
E.G.B.	Educación General Básica	<http://es.wikipedia.org/wiki/Educación_General_Básica>	
U.E.	Unión Europea	<http://es.wikipedia.org/wiki/Unión_Europea>	
S.A.S.	Scandinavian Airlines System	<http://es.wikipedia.org/wiki/Scandinavian_Airlines_System>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/Airline>,<http://schema.org/Organization> 
A.C.	Antes de Cristo	<http://es.wikipedia.org/wiki/Antes_de_Cristo>	
P.T.V.	PTV (automóviles)	<http://es.wikipedia.org/wiki/PTV_(automóviles)>	
E.R.P.	Ejército Revolucionario del Pueblo	<http://es.wikipedia.org/wiki/Ejército_Revolucionario_del_Pueblo>	
E.R.P.	Ejército Revolucionario del Pueblo (Colombia)	<http://es.wikipedia.org/wiki/Ejército_Revolucionario_del_Pueblo_(Colombia)>	
E.R.P.	Ejército Revolucionario del Pueblo (El Salvador)	<http://es.wikipedia.org/wiki/Ejército_Revolucionario_del_Pueblo_(El_Salvador)>	
M.U.G.	Macro-unidad geográfica	<http://es.wikipedia.org/wiki/Macro-unidad_geográfica>	
Smackdown!	WWE SmackDown	<http://es.wikipedia.org/wiki/WWE_SmackDown>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
P.m.	Palma de Mallorca	<http://es.wikipedia.org/wiki/Palma_de_Mallorca>	<http://schema.org/AdministrativeArea>,<http://schema.org/Place>,<http://dbpedia.org/ontology/AdministrativeRegion>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://dbpedia.org/ontology/Region> 
P.m.	Picómetro	<http://es.wikipedia.org/wiki/Picómetro>	
P.m.	P.M.	<http://es.wikipedia.org/wiki/P.M.>	
P.m.	Palm mute	<http://es.wikipedia.org/wiki/Palm_mute>	
P.m.	Prometio	<http://es.wikipedia.org/wiki/Prometio>	
P.m.	Masa molar	<http://es.wikipedia.org/wiki/Masa_molar>	
P.m.	PM (programa de televisión)	<http://es.wikipedia.org/wiki/PM_(programa_de_televisión)>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow> 
P.m.	Post merídiem	<http://es.wikipedia.org/wiki/Post_merídiem>	
A.m.	AM, Antes del Mediodía	<http://es.wikipedia.org/wiki/AM,_Antes_del_Mediodía>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow> 
A.m.	Amplitud modulada	<http://es.wikipedia.org/wiki/Amplitud_modulada>	
A.m.	Ars Musicae de Barcelona	<http://es.wikipedia.org/wiki/Ars_Musicae_de_Barcelona>	<http://schema.org/MusicGroup>,<http://schema.org/Person>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person> 
A.m.	Americio	<http://es.wikipedia.org/wiki/Americio>	
