K.ñ.	Kristup ñawpan	<http://qu.wikipedia.org/wiki/Kristup_ñawpan>	
U.K.	Hukllachasqa Qhapaq Suyu	<http://qu.wikipedia.org/wiki/Hukllachasqa_Qhapaq_Suyu>	
Sin.	Kaqlla simi	<http://qu.wikipedia.org/wiki/Kaqlla_simi>	
Lam.	Jean-Baptiste de Lamarck	<http://qu.wikipedia.org/wiki/Jean-Baptiste_de_Lamarck>	
Pav.	José Antonio Pavón y Jiménez	<http://qu.wikipedia.org/wiki/José_Antonio_Pavón_y_Jiménez>	
H.B.	H.B.K.	<http://qu.wikipedia.org/wiki/H.B.K.>	
Bonpl.	Aimé Bonpland	<http://qu.wikipedia.org/wiki/Aimé_Bonpland>	
Juss.	Antoine Laurent de Jussieu	<http://qu.wikipedia.org/wiki/Antoine_Laurent_de_Jussieu>	
