E.V.	Aera Vulgaris	<http://la.wikipedia.org/wiki/Aera_Vulgaris>	
A.E.V.	Aera Vulgaris	<http://la.wikipedia.org/wiki/Aera_Vulgaris>	
O.A.R.	Of a Revolution	<http://la.wikipedia.org/wiki/Of_a_Revolution>	
Cic.	Marcus Tullius Cicero	<http://la.wikipedia.org/wiki/Marcus_Tullius_Cicero>	
C.F.A.	Civitates Foederatae Americae	<http://la.wikipedia.org/wiki/Civitates_Foederatae_Americae>	
M'.	M.	<http://la.wikipedia.org/wiki/M.>	
LL.D.	Legum Doctor	<http://la.wikipedia.org/wiki/Legum_Doctor>	
M.p.	Mille	<http://la.wikipedia.org/wiki/Mille>	
Scil.	Sc.	<http://la.wikipedia.org/wiki/Sc.>	
Lam.	Ioannes Baptista Lamarckius	<http://la.wikipedia.org/wiki/Ioannes_Baptista_Lamarckius>	
