A.d.	Kristi fødsel	<http://no.wikipedia.org/wiki/Kristi_fødsel>	
Moh.	Meter over havet	<http://no.wikipedia.org/wiki/Meter_over_havet>	
Muh.	Meter under havet	<http://no.wikipedia.org/wiki/Meter_under_havet>	
P.I.L.	Public Image Ltd.	<http://no.wikipedia.org/wiki/Public_Image_Ltd.>	
Snabel-a.	@	<http://no.wikipedia.org/wiki/@>	
Ex.phil.	Examen philosophicum	<http://no.wikipedia.org/wiki/Examen_philosophicum>	
O.F.M.	Fransiskanerordenen	<http://no.wikipedia.org/wiki/Fransiskanerordenen>	
S.D.B.	Salesianerne av Don Bosco	<http://no.wikipedia.org/wiki/Salesianerne_av_Don_Bosco>	
C.Ss.R.	Redemptoristene	<http://no.wikipedia.org/wiki/Redemptoristene>	
M.I.T.	Massachusetts Institute of Technology	<http://no.wikipedia.org/wiki/Massachusetts_Institute_of_Technology>	
O.S.B.	Benediktinerordenen	<http://no.wikipedia.org/wiki/Benediktinerordenen>	
C.SS.R.	Redemptoristene	<http://no.wikipedia.org/wiki/Redemptoristene>	
S.V.D.	Guds ords selskap	<http://no.wikipedia.org/wiki/Guds_ords_selskap>	
P.S.S.	St. Sulpicius' presteselskap	<http://no.wikipedia.org/wiki/St._Sulpicius'_presteselskap>	
O.F.M.Cap.	Kapusinerordenen	<http://no.wikipedia.org/wiki/Kapusinerordenen>	
S.J.	Jesuittordenen	<http://no.wikipedia.org/wiki/Jesuittordenen>	
O.P.	Dominikanerordenen	<http://no.wikipedia.org/wiki/Dominikanerordenen>	
O.C.D.	De uskodde karmelittene	<http://no.wikipedia.org/wiki/De_uskodde_karmelittene>	
O.C.D.S.	Karmelittordenen	<http://no.wikipedia.org/wiki/Karmelittordenen>	
O.C.	Karmelittordenen	<http://no.wikipedia.org/wiki/Karmelittordenen>	
Cand.med.vet.	Veterinær	<http://no.wikipedia.org/wiki/Veterinær>	
Cand.jur.	Candidatus juris	<http://no.wikipedia.org/wiki/Candidatus_juris>	
S.d.	SD	<http://no.wikipedia.org/wiki/SD>	
C.R.S.P.	De regelbundne klerikere av St. Paulus	<http://no.wikipedia.org/wiki/De_regelbundne_klerikere_av_St._Paulus>	
Gnr.	Gårdsnummer	<http://no.wikipedia.org/wiki/Gårdsnummer>	
C.R.S.A.	Augustinerkorherrene	<http://no.wikipedia.org/wiki/Augustinerkorherrene>	
T.T.	Tredje tideverv	<http://no.wikipedia.org/wiki/Tredje_tideverv>	
A.T.	Andre tideverv	<http://no.wikipedia.org/wiki/Andre_tideverv>	
Q.e.d.	Q.E.D.	<http://no.wikipedia.org/wiki/Q.E.D.>	
R.A.S.	Regulus Svaart	<http://no.wikipedia.org/wiki/Regulus_Svaart>	
Cand.mag.	Candidatus magisterii	<http://no.wikipedia.org/wiki/Candidatus_magisterii>	
Ph.d.	Filosofisk doktorgrad	<http://no.wikipedia.org/wiki/Filosofisk_doktorgrad>	
O.t.o.	Ordo Templi Orientis	<http://no.wikipedia.org/wiki/Ordo_Templi_Orientis>	
F.T.	Første tideverv	<http://no.wikipedia.org/wiki/Første_tideverv>	
R.A.B.	Regulus Svaart	<http://no.wikipedia.org/wiki/Regulus_Svaart>	
N.N.	Nomen nescio	<http://no.wikipedia.org/wiki/Nomen_nescio>	
A.i.	A.I.: kunstig intelligens	<http://no.wikipedia.org/wiki/A.I.:_kunstig_intelligens>	
Dr.theol.	Doctor theologiae	<http://no.wikipedia.org/wiki/Doctor_theologiae>	
Dr.juris.	Doctor juris	<http://no.wikipedia.org/wiki/Doctor_juris>	
Dr.jur.	Doctor juris	<http://no.wikipedia.org/wiki/Doctor_juris>	
Ex.fac.	Examen facultatum	<http://no.wikipedia.org/wiki/Examen_facultatum>	
M.o.h.	Meter over havet	<http://no.wikipedia.org/wiki/Meter_over_havet>	
Adm.dir.	Administrerende direktør	<http://no.wikipedia.org/wiki/Administrerende_direktør>	
Fj.T.	Fjerde tideverv	<http://no.wikipedia.org/wiki/Fjerde_tideverv>	
M.A.X.	Mechanized Assault & Exploration	<http://no.wikipedia.org/wiki/Mechanized_Assault_&_Exploration>	
T.E.S.	The Elder Scrolls	<http://no.wikipedia.org/wiki/The_Elder_Scrolls>	
Dr.philos.	Den filosofiske doktorgrad (Danmark, Norge og Sverige)	<http://no.wikipedia.org/wiki/Den_filosofiske_doktorgrad_(Danmark,_Norge_og_Sverige)>	
Kgl.res.	Kongelig resolusjon	<http://no.wikipedia.org/wiki/Kongelig_resolusjon>	
C.M.	Vincentinerne	<http://no.wikipedia.org/wiki/Vincentinerne>	
TAV!	The Aller Værste!	<http://no.wikipedia.org/wiki/The_Aller_Værste!>	
Smackdown!	WWE Friday Night SmackDown!	<http://no.wikipedia.org/wiki/WWE_Friday_Night_SmackDown!>	
Akers-mek.	Akers mekaniske verksted	<http://no.wikipedia.org/wiki/Akers_mekaniske_verksted>	
Cand.philol.	Candidatus philologiæ	<http://no.wikipedia.org/wiki/Candidatus_philologiæ>	
Cand.med.	Candidatus medicinæ	<http://no.wikipedia.org/wiki/Candidatus_medicinæ>	
Dr.med.	Doctor medicinae	<http://no.wikipedia.org/wiki/Doctor_medicinae>	
Dr.polit.	Doctor rerum politicarum	<http://no.wikipedia.org/wiki/Doctor_rerum_politicarum>	
Siv.ing.	Sivilingeniør	<http://no.wikipedia.org/wiki/Sivilingeniør>	
