Tel.	電話	<http://zh_yue.wikipedia.org/wiki/電話>	
A.u.	天文單位	<http://zh_yue.wikipedia.org/wiki/天文單位>	
S.J.	耶穌會	<http://zh_yue.wikipedia.org/wiki/耶穌會>	
嘩嘩嘩打到嚟!	嘩嘩嘩!打到嚟!	<http://zh_yue.wikipedia.org/wiki/嘩嘩嘩!打到嚟!>	
嘩嘩嘩!打到黎!	嘩嘩嘩!打到嚟!	<http://zh_yue.wikipedia.org/wiki/嘩嘩嘩!打到嚟!>	
G.E.M.	鄧紫棋	<http://zh_yue.wikipedia.org/wiki/鄧紫棋>	
Ft.	呎	<http://zh_yue.wikipedia.org/wiki/呎>	
K-On!	K-ON!	<http://zh_yue.wikipedia.org/wiki/K-ON!>	
