Pl.	Język polski	<http://pl.wikipedia.org/wiki/Język_polski>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Fr.	Język francuski	<http://pl.wikipedia.org/wiki/Język_francuski>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Łac.	Łacina	<http://pl.wikipedia.org/wiki/Łacina>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Niem.	Język niemiecki	<http://pl.wikipedia.org/wiki/Język_niemiecki>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Wł.	Język włoski	<http://pl.wikipedia.org/wiki/Język_włoski>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Jap.	Język japoński	<http://pl.wikipedia.org/wiki/Język_japoński>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Czes.	Język czeski	<http://pl.wikipedia.org/wiki/Język_czeski>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Arab.	Język arabski	<http://pl.wikipedia.org/wiki/Język_arabski>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Hebr.	Język hebrajski	<http://pl.wikipedia.org/wiki/Język_hebrajski>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Port.	Język portugalski	<http://pl.wikipedia.org/wiki/Język_portugalski>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Hol.	Język niderlandzki	<http://pl.wikipedia.org/wiki/Język_niderlandzki>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Hiszp.	Język hiszpański	<http://pl.wikipedia.org/wiki/Język_hiszpański>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Duń.	Język duński	<http://pl.wikipedia.org/wiki/Język_duński>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Ukr.	Język ukraiński	<http://pl.wikipedia.org/wiki/Język_ukraiński>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
