Abgregation.	Latinske ord og vendinger	<http://da.wikipedia.org/wiki/Latinske_ord_og_vendinger>	
Abnegation.	Latinske ord og vendinger	<http://da.wikipedia.org/wiki/Latinske_ord_og_vendinger>	
Cand.	Kandidat	<http://da.wikipedia.org/wiki/Kandidat>	
Cand.act.	Forsikringsvidenskab	<http://da.wikipedia.org/wiki/Forsikringsvidenskab>	
Cand.brom.	Bromatolog	<http://da.wikipedia.org/wiki/Bromatolog>	
S.D.M.	Sortbroget dansk malkerace	<http://da.wikipedia.org/wiki/Sortbroget_dansk_malkerace>	
Sic!	Latinske ord og vendinger	<http://da.wikipedia.org/wiki/Latinske_ord_og_vendinger>	
U.K.	Storbritannien	<http://da.wikipedia.org/wiki/Storbritannien>	
Var.	Varietet	<http://da.wikipedia.org/wiki/Varietet>	
Ssp.	Systematik (biologi)	<http://da.wikipedia.org/wiki/Systematik_(biologi)>	
Q.e.d.	Quod erat demonstrandum	<http://da.wikipedia.org/wiki/Quod_erat_demonstrandum>	
Cand.agro.	Agronom	<http://da.wikipedia.org/wiki/Agronom>	
Cand.hort.	Hortonom	<http://da.wikipedia.org/wiki/Hortonom>	
Cand.jur.	Jurist	<http://da.wikipedia.org/wiki/Jurist>	
Cand.geom.	Landinspektør	<http://da.wikipedia.org/wiki/Landinspektør>	
Stud.scient.pol.	Statskundskab	<http://da.wikipedia.org/wiki/Statskundskab>	
O.T.	O. T.	<http://da.wikipedia.org/wiki/O._T.>	
V.i.p.	VIP	<http://da.wikipedia.org/wiki/VIP>	
P.m.	PM (flertydig)	<http://da.wikipedia.org/wiki/PM_(flertydig)>	
Rendebor.	Rørbor	<http://da.wikipedia.org/wiki/Rørbor>	
Dr.theol.	Doktorgrad	<http://da.wikipedia.org/wiki/Doktorgrad>	
Dr.jur.	Doktorgrad	<http://da.wikipedia.org/wiki/Doktorgrad>	
Dr.phil.	Doctor philosophiæ	<http://da.wikipedia.org/wiki/Doctor_philosophiæ>	
Dr.scient.	Doktorgrad	<http://da.wikipedia.org/wiki/Doktorgrad>	
Dr.med.	Doktorgrad	<http://da.wikipedia.org/wiki/Doktorgrad>	
Cand.psych.	Psykolog	<http://da.wikipedia.org/wiki/Psykolog>	
