F.Kr.	Efter Kristus	<http://sv.wikipedia.org/wiki/Efter_Kristus>	
Dyl.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
El.	EL	<http://sv.wikipedia.org/wiki/EL>	
D.ä.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
D.v.s.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
O.s.v.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
T.ex.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
D.y.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Fr.o.m.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Trol.	Trolovning	<http://sv.wikipedia.org/wiki/Trolovning>	
Arab.	Arabiska	<http://sv.wikipedia.org/wiki/Arabiska>	
Sp.	SP	<http://sv.wikipedia.org/wiki/SP>	
Ty.	Tyska	<http://sv.wikipedia.org/wiki/Tyska>	
Ital.	Italienska	<http://sv.wikipedia.org/wiki/Italienska>	
Lat.	Latin	<http://sv.wikipedia.org/wiki/Latin>	
Eng.	Engelska	<http://sv.wikipedia.org/wiki/Engelska>	
Etc.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
El.dyl.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Port.	Portugisiska	<http://sv.wikipedia.org/wiki/Portugisiska>	
S.v.	Väderstreck	<http://sv.wikipedia.org/wiki/Väderstreck>	
Sv.	Svenska	<http://sv.wikipedia.org/wiki/Svenska>	
Grek.	Grekiska	<http://sv.wikipedia.org/wiki/Grekiska>	
Fi.	Finska	<http://sv.wikipedia.org/wiki/Finska>	
Hebr.	Hebreiska	<http://sv.wikipedia.org/wiki/Hebreiska>	
Ry.	Ryska	<http://sv.wikipedia.org/wiki/Ryska>	
No.	Norska	<http://sv.wikipedia.org/wiki/Norska>	
M.u.h.	Meter över havet	<http://sv.wikipedia.org/wiki/Meter_över_havet>	
E.dyl.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Bl.a.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Osv.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
F.m.	Frekvensmodulering	<http://sv.wikipedia.org/wiki/Frekvensmodulering>	
Dvs.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Pga.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
O.d.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Tf.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
L.ö.a.	Längd över allt	<http://sv.wikipedia.org/wiki/Längd_över_allt>	
Monkees.	The Monkees	<http://sv.wikipedia.org/wiki/The_Monkees>	
Jur.kand.	Juristexamen	<http://sv.wikipedia.org/wiki/Juristexamen>	
F.B.K.	Syskonen Baudelaires olycksaliga liv	<http://sv.wikipedia.org/wiki/Syskonen_Baudelaires_olycksaliga_liv>	
G.T.	Gamla Testamentet	<http://sv.wikipedia.org/wiki/Gamla_Testamentet>	
Litt.	Littera	<http://sv.wikipedia.org/wiki/Littera>	
Olofström.	Olofströms kommun	<http://sv.wikipedia.org/wiki/Olofströms_kommun>	
Fil.dr.	Filosofie doktor	<http://sv.wikipedia.org/wiki/Filosofie_doktor>	
Fil.kand.	Filosofie kandidat	<http://sv.wikipedia.org/wiki/Filosofie_kandidat>	
Apg.	Apostlagärningarna	<http://sv.wikipedia.org/wiki/Apostlagärningarna>	
Rom.	Romarbrevet	<http://sv.wikipedia.org/wiki/Romarbrevet>	
B.C.	British Columbia	<http://sv.wikipedia.org/wiki/British_Columbia>	
Ö.h.	Meter över havet	<http://sv.wikipedia.org/wiki/Meter_över_havet>	
Teol.dr.	Teologie doktor	<http://sv.wikipedia.org/wiki/Teologie_doktor>	
Retreater.	Retreat	<http://sv.wikipedia.org/wiki/Retreat>	
Cicciolina.	Ilona Staller	<http://sv.wikipedia.org/wiki/Ilona_Staller>	
Gr.	Grekiska	<http://sv.wikipedia.org/wiki/Grekiska>	
A.D.	Efter Kristus	<http://sv.wikipedia.org/wiki/Efter_Kristus>	
Jur.dr.	Juris doktor	<http://sv.wikipedia.org/wiki/Juris_doktor>	
Fil.lic.	Filosofie licentiat	<http://sv.wikipedia.org/wiki/Filosofie_licentiat>	
C.s.i.	CSI: Crime Scene Investigation	<http://sv.wikipedia.org/wiki/CSI:_Crime_Scene_Investigation>	
Med.dr.	Medicine doktor	<http://sv.wikipedia.org/wiki/Medicine_doktor>	
Ph.D.	Filosofie doktor	<http://sv.wikipedia.org/wiki/Filosofie_doktor>	
D.Sc.	Filosofie doktor	<http://sv.wikipedia.org/wiki/Filosofie_doktor>	
M.ö.h.	Meter över havet	<http://sv.wikipedia.org/wiki/Meter_över_havet>	
D.A.D.	D-A-D	<http://sv.wikipedia.org/wiki/D-A-D>	
Jur.utr.kand.	Juris utriusque kandidat	<http://sv.wikipedia.org/wiki/Juris_utriusque_kandidat>	
F.Y.R.O.M.	Makedonien	<http://sv.wikipedia.org/wiki/Makedonien>	
Pol.mag.	Politices magister	<http://sv.wikipedia.org/wiki/Politices_magister>	
Teol.kand.	Teologie kandidat	<http://sv.wikipedia.org/wiki/Teologie_kandidat>	
BLAME!	Tsutomu Nihei	<http://sv.wikipedia.org/wiki/Tsutomu_Nihei>	
Blame!	Tsutomu Nihei	<http://sv.wikipedia.org/wiki/Tsutomu_Nihei>	
A.S.A.P.	Lista över förkortningar	<http://sv.wikipedia.org/wiki/Lista_över_förkortningar>	
Fil.stud.	Filosofie studerande	<http://sv.wikipedia.org/wiki/Filosofie_studerande>	
Dr.h.c.	Hedersdoktor	<http://sv.wikipedia.org/wiki/Hedersdoktor>	
D.U.G.	De unga gubbarna	<http://sv.wikipedia.org/wiki/De_unga_gubbarna>	
Fil.mag.	Filosofie magister	<http://sv.wikipedia.org/wiki/Filosofie_magister>	
C.S.I.	CSI: Crime Scene Investigation	<http://sv.wikipedia.org/wiki/CSI:_Crime_Scene_Investigation>	
R.A.T.M.	Rage Against the Machine	<http://sv.wikipedia.org/wiki/Rage_Against_the_Machine>	
M.B.A.	Master of Business Administration	<http://sv.wikipedia.org/wiki/Master_of_Business_Administration>	
Ibid.	Ibidem	<http://sv.wikipedia.org/wiki/Ibidem>	
Yu-gi-oh!	Yu-Gi-Oh!	<http://sv.wikipedia.org/wiki/Yu-Gi-Oh!>	
Tekn.dr.	Teknologie doktor	<http://sv.wikipedia.org/wiki/Teknologie_doktor>	
Missingno.	Pokémon Red och Blue	<http://sv.wikipedia.org/wiki/Pokémon_Red_och_Blue>	
Brf.	Bostadsrättsförening	<http://sv.wikipedia.org/wiki/Bostadsrättsförening>	
J.O.	Justitieombudsmannen	<http://sv.wikipedia.org/wiki/Justitieombudsmannen>	
Med.kand.	Medicine kandidat	<http://sv.wikipedia.org/wiki/Medicine_kandidat>	
Matt.	Matteusevangeliet	<http://sv.wikipedia.org/wiki/Matteusevangeliet>	
Luk.	Lukasevangeliet	<http://sv.wikipedia.org/wiki/Lukasevangeliet>	
Jur.lic.	Licentiatexamen	<http://sv.wikipedia.org/wiki/Licentiatexamen>	
O.M.D.	Orchestral Manoeuvres in the Dark	<http://sv.wikipedia.org/wiki/Orchestral_Manoeuvres_in_the_Dark>	
N.E.R.D.	N.E.R.D	<http://sv.wikipedia.org/wiki/N.E.R.D>	
R.A.B.	Regulus Black	<http://sv.wikipedia.org/wiki/Regulus_Black>	
R.f.	Registrerad förening	<http://sv.wikipedia.org/wiki/Registrerad_förening>	
It.	Italienska	<http://sv.wikipedia.org/wiki/Italienska>	
F.U.T.T.	Hogwarts	<http://sv.wikipedia.org/wiki/Hogwarts>	
K.O.	Knockout	<http://sv.wikipedia.org/wiki/Knockout>	
A.L.F.	Alf (olika betydelser)	<http://sv.wikipedia.org/wiki/Alf_(olika_betydelser)>	
Ssp.	Underart	<http://sv.wikipedia.org/wiki/Underart>	
Var.	Varietet (botanik)	<http://sv.wikipedia.org/wiki/Varietet_(botanik)>	
Cond.	Charles Marie de La Condamine	<http://sv.wikipedia.org/wiki/Charles_Marie_de_La_Condamine>	
Skenderbeg.	Skanderbeg	<http://sv.wikipedia.org/wiki/Skanderbeg>	
LL.M.	Master of Laws	<http://sv.wikipedia.org/wiki/Master_of_Laws>	
Heltidspolitiker.	Politiker	<http://sv.wikipedia.org/wiki/Politiker>	
Stopp!	Ebba Grön (musikalbum)	<http://sv.wikipedia.org/wiki/Ebba_Grön_(musikalbum)>	
Hb-prov.	Blodvärde	<http://sv.wikipedia.org/wiki/Blodvärde>	
