Тарыхилимижѳнундѳжалпытүшүнүк.	Тарых илими жѳнүндѳ жалпы түшүнүк.	<http://ky.wikipedia.org/wiki/Тарых_илими_жѳнүндѳ_жалпы_түшүнүк.>	
Midi.	MIDI	<http://ky.wikipedia.org/wiki/MIDI>	
Midi.	MIDI	<http://ky.wikipedia.org/wiki/MIDI>	
