U.S.A.	Sjedinjene Američke Države	<http://bs.wikipedia.org/wiki/Sjedinjene_Američke_Države>	
S.A.D.	Sjedinjene Američke Države	<http://bs.wikipedia.org/wiki/Sjedinjene_Američke_Države>	
S.w.t.	Subhanehu we teala	<http://bs.wikipedia.org/wiki/Subhanehu_we_teala>	
S.a.v.s.	Salallahu alejhi we sellem	<http://bs.wikipedia.org/wiki/Salallahu_alejhi_we_sellem>	
A.s.	Salallahu alejhi we sellem	<http://bs.wikipedia.org/wiki/Salallahu_alejhi_we_sellem>	
S.a.w.s.	Salallahu alejhi we sellem	<http://bs.wikipedia.org/wiki/Salallahu_alejhi_we_sellem>	
S.P.Q.R.	Senatus Populusque Romanus	<http://bs.wikipedia.org/wiki/Senatus_Populusque_Romanus>	
R.A.F.	Royal Air Force	<http://bs.wikipedia.org/wiki/Royal_Air_Force>	
S.O.D.	Stormtroopers of Death	<http://bs.wikipedia.org/wiki/Stormtroopers_of_Death>	
F.I.G.C.	Italijanska nogometna federacija	<http://bs.wikipedia.org/wiki/Italijanska_nogometna_federacija>	
