Gallek.	Galleg	<http://br.wikipedia.org/wiki/Galleg>	
Etc.	Et cætera	<http://br.wikipedia.org/wiki/Et_cætera>	
S.U.A.	Stadoù-Unanet Amerika	<http://br.wikipedia.org/wiki/Stadoù-Unanet_Amerika>	
Ya!	Ya !	<http://br.wikipedia.org/wiki/Ya_!>	
A.L.F.	Atlas Linguistique de France	<http://br.wikipedia.org/wiki/Atlas_Linguistique_de_France>	
Q.E.D.	Quod erat demonstrandum	<http://br.wikipedia.org/wiki/Quod_erat_demonstrandum>	
Fl.	Floruit	<http://br.wikipedia.org/wiki/Floruit>	
